store_id,day,start_time_local,end_time_local
5060510610554371981,1,00:00:00,00:15:00
9005010624811713677,3,00:00:00,00:15:00
9005010624811713677,4,00:00:00,00:15:00
9005010624811713677,0,00:00:00,00:15:00
9005010624811713677,2,00:00:00,00:15:00
4243420246305474977,4,00:00:00,00:15:00
4243420246305474977,0,00:00:00,00:15:00
4243420246305474977,3,00:00:00,00:15:00
4243420246305474977,2,00:00:00,00:15:00
1058415345127439531,5,00:00:00,00:15:00
1058415345127439531,6,00:00:00,00:15:00
4664919917225425354,3,00:00:00,00:15:00
4664919917225425354,1,00:00:00,00:15:00
4664919917225425354,4,00:00:00,00:15:00
4664919917225425354,5,00:00:00,00:15:00
4664919917225425354,2,00:00:00,00:15:00
4493671975462354916,6,00:00:00,00:19:00
4493671975462354916,4,00:00:00,00:19:00
4493671975462354916,1,00:00:00,00:19:00
4493671975462354916,5,00:00:00,00:19:00
4493671975462354916,2,00:00:00,00:19:00
4493671975462354916,0,00:00:00,00:19:00
4493671975462354916,3,00:00:00,00:19:00
6288914411805113421,5,00:00:00,00:25:00
6288914411805113421,6,00:00:00,00:25:00
